Configuration;Timestamp;LocationProtocol;LocationHostname;LocationPathname;ResourceID;ResourceContentType;ResourceURL;ResourceHost;ResourcePath;ResourceRequested;ResourceCompleted;ResourceFailed
test;1438002405705;http;www.wtf.nl;"/";5;"text/html";"http://www.wtf.nl/";www.wtf.nl;"/";21;81;0
test;1438002405705;http;www.wtf.nl;"/";6;"text/css";"http://www.wtf.nl/static/CACHE/css/8fd6990c722a.css";www.wtf.nl;"/static/CACHE/css/8fd6990c722a.css";74;84;0
test;1438002405705;http;www.wtf.nl;"/";7;"text/javascript";"http://www.wtf.nl/static/CACHE/js/5309502130ec.js";www.wtf.nl;"/static/CACHE/js/5309502130ec.js";74;105;0
test;1438002405705;http;www.wtf.nl;"/";8;"text/javascript";"http://cts.snmmd.nl/service/js/wft-nl-wtf/home/";cts.snmmd.nl;"/service/js/wft-nl-wtf/home/";74;140;0
test;1438002405705;http;www.wtf.nl;"/";9;"text/javascript";"http://www.wtf.nl/static/CACHE/js/ac5232e3513b.js";www.wtf.nl;"/static/CACHE/js/ac5232e3513b.js";80;105;0
test;1438002405705;http;www.wtf.nl;"/";10;"text/javascript";"http://www.wtf.nl/static/CACHE/js/a059ef224a4b.js";www.wtf.nl;"/static/CACHE/js/a059ef224a4b.js";81;140;0
test;1438002405705;http;www.wtf.nl;"/";11;"text/javascript";"http://privacy.wtf.nl/script/consent.js";privacy.wtf.nl;"/script/consent.js";145;167;0
test;1438002405705;http;www.wtf.nl;"/";12;"text/javascript";"http://cts.snmmd.nl/lib/js/gt.js";cts.snmmd.nl;"/lib/js/gt.js";168;174;0
test;1438002405705;http;www.wtf.nl;"/";13;"text/html";"http://rc.bt.ilsemedia.nl/Get/ilsemedia/JS/GetRcmd.js?ord=57891166442";rc.bt.ilsemedia.nl;"/Get/ilsemedia/JS/GetRcmd.js";175;185;0
test;1438002405705;http;www.wtf.nl;"/";14;"text/javascript";"http://cdn.krxd.net/controltag?confid=HiXmoYMG";cdn.krxd.net;"/controltag";186;256;0
test;1438002405705;http;www.wtf.nl;"/";15;"text/javascript";"http://www.googletagservices.com/tag/js/gpt.js";www.googletagservices.com;"/tag/js/gpt.js";187;256;0
test;1438002405705;http;www.wtf.nl;"/";16;"application/javascript";"http://sat.sanoma.fi/js/sat.js";sat.sanoma.fi;"/js/sat.js";188;380;0
test;1438002405705;http;www.wtf.nl;"/";17;"text/javascript";"http://www.google-analytics.com/ga.js";www.google-analytics.com;"/ga.js";190;255;0
test;1438002405705;http;www.wtf.nl;"/";18;"application/x-javascript";"http://a.visualrevenue.com/vrs.js";a.visualrevenue.com;"/vrs.js";191;255;0
test;1438002405705;http;www.wtf.nl;"/";19;"image/svg+xml";"http://www.wtf.nl/static/img/branding/logo.svg";www.wtf.nl;"/static/img/branding/logo.svg";191;246;0
test;1438002405705;http;www.wtf.nl;"/";20;"image/jpeg";"http://bin.snmmd.nl/m/yodw75kpquus_sqr128.jpg";bin.snmmd.nl;"/m/yodw75kpquus_sqr128.jpg";196;256;0
test;1438002405705;http;www.wtf.nl;"/";21;"image/gif";"http://pubads.g.doubleclick.net/gampad/ad?iu=/4045/Blogads/102235004&sz=1x1&t=campaign%253D102235004_257490244&c=%25%25CACHEBUSTER%25%25";pubads.g.doubleclick.net;"/gampad/ad";221;386;0
test;1438002405705;http;www.wtf.nl;"/";22;"application/x-javascript";"http://connect.facebook.net/en_US/sdk.js#xfbml=1&version=v2.0";connect.facebook.net;"/en_US/sdk.js";224;380;0
test;1438002405705;http;www.wtf.nl;"/";23;"text/javascript";"http://ad.360yield.com/adj?p=640743&w=336&h=280&tz=-120&click3rd=&U=prz6fgeuk&kw=mqx65qehh,mqx7bc2sw&optin=y";ad.360yield.com;"/adj";226;449;0
test;1438002405705;http;www.wtf.nl;"/";25;"image/jpeg";"http://bin.snmmd.nl/m/yodw75kpquus_wd640.jpg";bin.snmmd.nl;"/m/yodw75kpquus_wd640.jpg";227;381;0
test;1438002405705;http;www.wtf.nl;"/";26;"image/jpeg";"http://bin.snmmd.nl/m/bd8wcpgpkqej_sqr512.jpg";bin.snmmd.nl;"/m/bd8wcpgpkqej_sqr512.jpg";227;380;0
test;1438002405705;http;www.wtf.nl;"/";27;"image/jpeg";"http://bin.snmmd.nl/m/7jbwcvbpwfu0_sqr512.jpg";bin.snmmd.nl;"/m/7jbwcvbpwfu0_sqr512.jpg";227;383;0
test;1438002405705;http;www.wtf.nl;"/";28;"image/jpeg";"http://bin.snmmd.nl/m/geswdaapi69h_sqr512.jpg";bin.snmmd.nl;"/m/geswdaapi69h_sqr512.jpg";228;382;0
test;1438002405705;http;www.wtf.nl;"/";29;"image/jpeg";"http://bin.snmmd.nl/m/7wswyzmpjjqi_sqr512.jpg";bin.snmmd.nl;"/m/7wswyzmpjjqi_sqr512.jpg";228;384;0
test;1438002405705;http;www.wtf.nl;"/";30;"image/jpeg";"http://bin.snmmd.nl/m/y2mwjylpug17_sqr512.jpg";bin.snmmd.nl;"/m/y2mwjylpug17_sqr512.jpg";228;385;0
test;1438002405705;http;www.wtf.nl;"/";31;"image/jpeg";"http://bin.snmmd.nl/m/508w9w9pty5c_wd640.jpg";bin.snmmd.nl;"/m/508w9w9pty5c_wd640.jpg";229;456;0
test;1438002405705;http;www.wtf.nl;"/";32;"image/jpeg";"http://bin.snmmd.nl/m/rjuw2dlpdxgi_sqr512.jpg";bin.snmmd.nl;"/m/rjuw2dlpdxgi_sqr512.jpg";229;453;0
test;1438002405705;http;www.wtf.nl;"/";33;"image/jpeg";"http://bin.snmmd.nl/m/8chwpbcp99ij_sqr512.jpg";bin.snmmd.nl;"/m/8chwpbcp99ij_sqr512.jpg";229;448;0
test;1438002405705;http;www.wtf.nl;"/";34;"image/jpeg";"http://bin.snmmd.nl/m/wnhw8vipd0t4_wd640.jpg";bin.snmmd.nl;"/m/wnhw8vipd0t4_wd640.jpg";229;447;0
test;1438002405705;http;www.wtf.nl;"/";35;"image/jpeg";"http://bin.snmmd.nl/m/vjow20ypu5su_sqr512.jpg";bin.snmmd.nl;"/m/vjow20ypu5su_sqr512.jpg";230;447;0
test;1438002405705;http;www.wtf.nl;"/";36;"image/jpeg";"http://bin.snmmd.nl/m/gxcwrawpp6u8_sqr512.jpg";bin.snmmd.nl;"/m/gxcwrawpp6u8_sqr512.jpg";230;448;0
test;1438002405705;http;www.wtf.nl;"/";37;"image/jpeg";"http://bin.snmmd.nl/m/9zpwlabp7iv7_sqr512.jpg";bin.snmmd.nl;"/m/9zpwlabp7iv7_sqr512.jpg";230;502;0
test;1438002405705;http;www.wtf.nl;"/";38;"image/jpeg";"http://bin.snmmd.nl/m/hj4wd26p4y84_sqr512.jpg";bin.snmmd.nl;"/m/hj4wd26p4y84_sqr512.jpg";230;504;0
test;1438002405705;http;www.wtf.nl;"/";39;"image/jpeg";"http://bin.snmmd.nl/m/63awwuwp7jjt_sqr512.jpg";bin.snmmd.nl;"/m/63awwuwp7jjt_sqr512.jpg";230;505;0
test;1438002405705;http;www.wtf.nl;"/";40;"image/jpeg";"http://bin.snmmd.nl/m/kmhwjdvphsph_wd640.jpg";bin.snmmd.nl;"/m/kmhwjdvphsph_wd640.jpg";231;502;0
test;1438002405705;http;www.wtf.nl;"/";41;"image/jpeg";"http://bin.snmmd.nl/m/1plwgi7pstd5_sqr512.jpg";bin.snmmd.nl;"/m/1plwgi7pstd5_sqr512.jpg";231;503;0
test;1438002405705;http;www.wtf.nl;"/";42;"image/jpeg";"http://bin.snmmd.nl/m/s09ww4vpo3it_sqr512.jpg";bin.snmmd.nl;"/m/s09ww4vpo3it_sqr512.jpg";231;504;0
test;1438002405705;http;www.wtf.nl;"/";43;"image/jpeg";"http://bin.snmmd.nl/m/d9qwvpapmywt_wd640.jpg";bin.snmmd.nl;"/m/d9qwvpapmywt_wd640.jpg";231;535;0
test;1438002405705;http;www.wtf.nl;"/";44;"image/jpeg";"http://bin.snmmd.nl/m/8z0wr7lp40na_sqr512.jpg";bin.snmmd.nl;"/m/8z0wr7lp40na_sqr512.jpg";231;598;0
