Configuration;Timestamp;LocationProtocol;LocationHostname;LocationPathname;CookieDomain;CookieName;CookieValue;CookieParty;CookiePartyCategory
deeplinks;1449670007666;http;www.nu.nl;"/";bam.nr-data.net;"JSESSIONID";"dd0ba464e4ca3467";New Relic;ads
deeplinks;1449670007666;http;www.nu.nl;"/";.xiti.com;"idrxvr";"E505224E-9F6E-4459-B817-74789C982E6F";AT Internet;stats
deeplinks;1449670007666;http;www.nu.nl;"/";www.nu.nl;"consentBarViewCount";"1";Sanoma Consent Manager;functional
deeplinks;1449670007666;http;www.nu.nl;"/";.nu.nl;"SanomaWeb";"zkio1pso04";Site-own;functional
deeplinks;1449670007666;http;www.nu.nl;"/";.nu.nl;"SanomaWebSession";"hitj73fjxd";Site-own;functional
deeplinks;1449670007666;http;www.nu.nl;"/";.www.nu.nl;"_gat";"1";Google Analytics;stats
deeplinks;1449670007666;http;www.nu.nl;"/";.www.nu.nl;"_ga";"GA1.3.2094490855.1449670008";Google Analytics;stats
deeplinks;1449670007666;http;www.nu.nl;"/";.scorecardresearch.com;"UIDR";"1449670007";ScoreCard Research;stats
deeplinks;1449670007666;http;www.nu.nl;"/";.scorecardresearch.com;"UID";"10923a14a90a11122a5389c1449670007";ScoreCard Research;stats
deeplinks;1449670007666;http;www.nu.nl;"/";.sanoma.fi;"SanomaWeb";"cfb54314-ee09-4b54-99e7-f53df72096c3";Site-own;functional
deeplinks;1449670013851;http;www.nu.nl;"/tech";.xiti.com;"idrxvr";"0267DC35-D354-4DB8-85B8-9B4119EE48A0";AT Internet;stats
deeplinks;1449670013851;http;www.nu.nl;"/tech";bam.nr-data.net;"JSESSIONID";"47acadd30bc49f10";New Relic;ads
deeplinks;1449670013851;http;www.nu.nl;"/tech";www.nu.nl;"consentBarViewCount";"1";Sanoma Consent Manager;functional
deeplinks;1449670013851;http;www.nu.nl;"/tech";.scorecardresearch.com;"UIDR";"1449670014";ScoreCard Research;stats
deeplinks;1449670013851;http;www.nu.nl;"/tech";.scorecardresearch.com;"UID";"19823a14a90a11122a538c81449670014";ScoreCard Research;stats
deeplinks;1449670013851;http;www.nu.nl;"/tech";.nu.nl;"SanomaWeb";"0c9rks75xn";Site-own;functional
deeplinks;1449670013851;http;www.nu.nl;"/tech";.nu.nl;"SanomaWebSession";"xlq8g7qois";Site-own;functional
deeplinks;1449670013851;http;www.nu.nl;"/tech";.sanoma.fi;"SanomaWeb";"80e5ff8d-55f9-435f-bf51-8c1ca1f2ee39";Site-own;functional
deeplinks;1449670013851;http;www.nu.nl;"/tech";.www.nu.nl;"_gat";"1";Google Analytics;stats
deeplinks;1449670013851;http;www.nu.nl;"/tech";.www.nu.nl;"_ga";"GA1.3.1173841107.1449670014";Google Analytics;stats
deeplinks;1449670020220;http;www.nu.nl;"/sport";bam.nr-data.net;"JSESSIONID";"deeec71ab2f0f45f";New Relic;ads
deeplinks;1449670020220;http;www.nu.nl;"/sport";.xiti.com;"idrxvr";"26FD4043-FAE6-405D-98F6-8F72340CBEED";AT Internet;stats
deeplinks;1449670020220;http;www.nu.nl;"/sport";www.nu.nl;"consentBarViewCount";"1";Sanoma Consent Manager;functional
deeplinks;1449670020220;http;www.nu.nl;"/sport";.nu.nl;"SanomaWeb";"u99intjutj";Site-own;functional
deeplinks;1449670020220;http;www.nu.nl;"/sport";.nu.nl;"SanomaWebSession";"lrtirkqcqz";Site-own;functional
deeplinks;1449670020220;http;www.nu.nl;"/sport";.scorecardresearch.com;"UIDR";"1449670020";ScoreCard Research;stats
deeplinks;1449670020220;http;www.nu.nl;"/sport";.scorecardresearch.com;"UID";"1E323a14a90a11122a5521a1449670020";ScoreCard Research;stats
deeplinks;1449670020220;http;www.nu.nl;"/sport";.sanoma.fi;"SanomaWeb";"7b7bd738-4cbd-424f-9c8d-2f6640f65ff9";Site-own;functional
deeplinks;1449670020220;http;www.nu.nl;"/sport";.www.nu.nl;"_gat";"1";Google Analytics;stats
deeplinks;1449670020220;http;www.nu.nl;"/sport";.www.nu.nl;"_ga";"GA1.3.1692471900.1449670020";Google Analytics;stats
deeplinks;1449670025862;http;www.nu.nl;"/economie";.xiti.com;"idrxvr";"D8370EFF-A4D6-49B1-8507-4C17826F1317";AT Internet;stats
deeplinks;1449670025862;http;www.nu.nl;"/economie";bam.nr-data.net;"JSESSIONID";"4f6d2ec9ae64c4ae";New Relic;ads
deeplinks;1449670025862;http;www.nu.nl;"/economie";www.nu.nl;"consentBarViewCount";"1";Sanoma Consent Manager;functional
deeplinks;1449670025862;http;www.nu.nl;"/economie";.nu.nl;"SanomaWeb";"8w3ui7mscy";Site-own;functional
deeplinks;1449670025862;http;www.nu.nl;"/economie";.nu.nl;"SanomaWebSession";"2suvf9tgcl";Site-own;functional
