Configuration;Timestamp;LocationProtocol;LocationHostname;LocationPathname;ResourceID;ResourceContentType;ResourceURL;ResourceHost;ResourcePath;ResourceParty;ResourceRequested;ResourceCompleted;ResourceFailed
test;1467644312969;http;www.nu.nl;"/";1;"text/html";"http://www.nu.nl/";www.nu.nl;"/";"";2;78;0
test;1467644312969;http;www.nu.nl;"/";2;"text/css";"http://www.nu.nl/static/CACHE/css/e25ecd1f8d4e.css";www.nu.nl;"/static/CACHE/css/e25ecd1f8d4e.css";"";52;122;0
test;1467644312969;http;www.nu.nl;"/";3;"application/javascript";"http://www.nu.nl/static/js/advertising.js";www.nu.nl;"/static/js/advertising.js";"";53;90;0
test;1467644312969;http;www.nu.nl;"/";4;"text/javascript";"http://www.nu.nl/static/CACHE/js/3299bc806488.js";www.nu.nl;"/static/CACHE/js/3299bc806488.js";"";53;163;0
test;1467644312969;http;www.nu.nl;"/";5;"text/javascript";"http://cts.snmmd.nl/service/js/nunl/home/";cts.snmmd.nl;"/service/js/nunl/home/";"";53;93;0
test;1467644312969;http;www.nu.nl;"/";6;"application/javascript";"http://www.nu.nl/static/js/organisms/ntv.advertorial.js";www.nu.nl;"/static/js/organisms/ntv.advertorial.js";"";54;92;0
test;1467644312969;http;www.nu.nl;"/";7;"text/javascript";"http://www.nu.nl/static/CACHE/js/139eb35ac4b0.js";www.nu.nl;"/static/CACHE/js/139eb35ac4b0.js";"";77;113;0
test;1467644312969;http;www.nu.nl;"/";8;"text/javascript";"http://www.nu.nl/static/CACHE/js/c0857404f583.js";www.nu.nl;"/static/CACHE/js/c0857404f583.js";"";77;214;0
test;1467644312969;http;www.nu.nl;"/";9;"text/javascript";"http://cdn.optimizely.com/js/4751656579.js";cdn.optimizely.com;"/js/4751656579.js";"";208;260;0
test;1467644312969;http;www.nu.nl;"/";10;"text/javascript";"http://privacy.nu.nl/script/consent.js";privacy.nu.nl;"/script/consent.js";"Consent manager";213;252;0
test;1467644312969;http;www.nu.nl;"/";11;"text/html";"http://rc.bt.ilsemedia.nl/Get/ilsemedia/JS/GetRcmd.js?ord=1467644313222";rc.bt.ilsemedia.nl;"/Get/ilsemedia/JS/GetRcmd.js";"";253;289;0
test;1467644312969;http;www.nu.nl;"/";12;"application/javascript";"http://sat.sanoma.fi/js/sat.js";sat.sanoma.fi;"/js/sat.js";"";291;352;0
test;1467644312969;http;www.nu.nl;"/";13;"text/javascript";"http://www.google-analytics.com/analytics.js";www.google-analytics.com;"/analytics.js";"";293;305;0
test;1467644312969;http;www.nu.nl;"/";14;"image/svg+xml";"http://www.nu.nl/static/img/atoms/images/logos/logo-sprite.svg";www.nu.nl;"/static/img/atoms/images/logos/logo-sprite.svg";"";294;337;0
test;1467644312969;http;www.nu.nl;"/";15;"image/jpeg";"http://media.nu.nl/m/r3jxm0mahk0c_wd320.jpg";media.nu.nl;"/m/r3jxm0mahk0c_wd320.jpg";"";295;346;0
test;1467644312969;http;www.nu.nl;"/";16;"image/jpeg";"http://media.nu.nl/m/lkdxeltaa5x7_sqr64.jpg";media.nu.nl;"/m/lkdxeltaa5x7_sqr64.jpg";"";296;333;0
test;1467644312969;http;www.nu.nl;"/";17;"image/jpeg";"http://media.nu.nl/m/aitx1lkajdhr_sqr64.jpg";media.nu.nl;"/m/aitx1lkajdhr_sqr64.jpg";"";297;335;0
test;1467644312969;http;www.nu.nl;"/";18;"image/jpeg";"http://media.nu.nl/m/eisxxv1auwqt_sqr64.jpg";media.nu.nl;"/m/eisxxv1auwqt_sqr64.jpg";"";297;335;0
test;1467644312969;http;www.nu.nl;"/";19;"image/jpeg";"http://media.nu.nl/m/oyvx1vda7qmk_sqr64.jpg";media.nu.nl;"/m/oyvx1vda7qmk_sqr64.jpg";"";298;336;0
test;1467644312969;http;www.nu.nl;"/";20;"image/jpeg";"http://media.nu.nl/m/4g6x2s3a5ebj_std640.jpg";media.nu.nl;"/m/4g6x2s3a5ebj_std640.jpg";"";298;351;0
test;1467644312969;http;www.nu.nl;"/";21;"image/jpeg";"http://media.nu.nl/m/m1oxfnia25hh_wd320.jpg";media.nu.nl;"/m/m1oxfnia25hh_wd320.jpg";"";299;346;0
test;1467644312969;http;www.nu.nl;"/";22;"image/jpeg";"http://media.nu.nl/m/4juxbhuah027_std160.jpg";media.nu.nl;"/m/4juxbhuah027_std160.jpg";"";299;347;0
test;1467644312969;http;www.nu.nl;"/";23;"image/png";"http://www.nu.nl/static/img/placeholders/230x240-o.png";www.nu.nl;"/static/img/placeholders/230x240-o.png";"";299;348;0
