Configuration;Timestamp;LocationProtocol;LocationHostname;LocationPathname;ResourceID;ResourceContentType;ResourceURL;ResourceHost;ResourcePath;ResourceParty;ResourcePartyCategory;ResourceRequested;ResourceCompleted;ResourceFailed
test;1467645779269;http;www.nu.nl;"/";1;"text/html";"http://www.nu.nl/";www.nu.nl;"/";"";"";1;124;0
test;1467645779269;http;www.nu.nl;"/";2;"text/css";"http://www.nu.nl/static/CACHE/css/e25ecd1f8d4e.css";www.nu.nl;"/static/CACHE/css/e25ecd1f8d4e.css";"";"";104;174;0
test;1467645779269;http;www.nu.nl;"/";3;"application/javascript";"http://www.nu.nl/static/js/advertising.js";www.nu.nl;"/static/js/advertising.js";"";"";104;142;0
test;1467645779269;http;www.nu.nl;"/";4;"text/javascript";"http://www.nu.nl/static/CACHE/js/3299bc806488.js";www.nu.nl;"/static/CACHE/js/3299bc806488.js";"";"";105;215;0
test;1467645779269;http;www.nu.nl;"/";5;"text/javascript";"http://cts.snmmd.nl/service/js/nunl/home/";cts.snmmd.nl;"/service/js/nunl/home/";"";"";106;152;0
test;1467645779269;http;www.nu.nl;"/";6;"application/javascript";"http://www.nu.nl/static/js/organisms/ntv.advertorial.js";www.nu.nl;"/static/js/organisms/ntv.advertorial.js";"";"";107;144;0
test;1467645779269;http;www.nu.nl;"/";7;"text/javascript";"http://www.nu.nl/static/CACHE/js/139eb35ac4b0.js";www.nu.nl;"/static/CACHE/js/139eb35ac4b0.js";"";"";123;267;0
test;1467645779269;http;www.nu.nl;"/";8;"text/javascript";"http://www.nu.nl/static/CACHE/js/c0857404f583.js";www.nu.nl;"/static/CACHE/js/c0857404f583.js";"";"";124;214;0
test;1467645779269;http;www.nu.nl;"/";9;"text/javascript";"http://cdn.optimizely.com/js/4751656579.js";cdn.optimizely.com;"/js/4751656579.js";"";"";260;315;0
test;1467645779269;http;www.nu.nl;"/";10;"text/javascript";"http://privacy.nu.nl/script/consent.js";privacy.nu.nl;"/script/consent.js";"Sanoma Consent Manager";"functional";266;343;0
test;1467645779269;http;www.nu.nl;"/";11;"text/html";"http://rc.bt.ilsemedia.nl/Get/ilsemedia/JS/GetRcmd.js?ord=1467645779613";rc.bt.ilsemedia.nl;"/Get/ilsemedia/JS/GetRcmd.js";"";"";345;396;0
test;1467645779269;http;www.nu.nl;"/";12;"application/javascript";"http://sat.sanoma.fi/js/sat.js";sat.sanoma.fi;"/js/sat.js";"";"";398;481;0
test;1467645779269;http;www.nu.nl;"/";13;"text/javascript";"http://www.google-analytics.com/analytics.js";www.google-analytics.com;"/analytics.js";"";"";399;412;0
test;1467645779269;http;www.nu.nl;"/";14;"image/svg+xml";"http://www.nu.nl/static/img/atoms/images/logos/logo-sprite.svg";www.nu.nl;"/static/img/atoms/images/logos/logo-sprite.svg";"";"";402;450;0
test;1467645779269;http;www.nu.nl;"/";15;"image/jpeg";"http://media.nu.nl/m/r3jxm0mahk0c_wd320.jpg";media.nu.nl;"/m/r3jxm0mahk0c_wd320.jpg";"";"";403;466;0
